team_id,team_owner,player_id,player_name_x,position_x,team_x,player_name_y,team_y,position_y,years_kept,draft_value_y1,final_value_y1,keeper_value_y1
562348939237478400,La Panenka,2133,Davante Adams,WR,GB,Davante Adams,GB,WR,0,35.0,35,50
562348939237478400,La Panenka,2168,Devonta Freeman,RB,NO,Devonta Freeman,BUF,RB,0,1.0,1,2
562348939237478400,La Panenka,2306,Jameis Winston,QB,NO,Jameis Winston,NO,QB,0,0.0,0,2
562348939237478400,La Panenka,2431,Mike Davis,RB,ATL,Mike Davis,ATL,RB,0,0.0,58,61
562348939237478400,La Panenka,3198,Derrick Henry,RB,TEN,Derrick Henry,TEN,RB,0,40.0,40,54
562348939237478400,La Panenka,3200,Sterling Shepard,WR,NYG,Sterling Shepard,NYG,WR,0,1.0,1,2
562348939237478400,La Panenka,3294,Dak Prescott,QB,DAL,Dak Prescott,DAL,QB,0,21.0,21,35
562348939237478400,La Panenka,4034,Christian McCaffrey,RB,CAR,Christian McCaffrey,CAR,RB,0,65.0,65,69
562348939237478400,La Panenka,4149,Jamaal Williams,RB,DET,Jamaal Williams,DET,RB,0,1.0,1,2
562348939237478400,La Panenka,4152,Marlon Mack,RB,IND,Marlon Mack,IND,RB,0,4.0,4,8
562348939237478400,La Panenka,4171,Josh Reynolds,WR,TEN,Josh Reynolds,TEN,WR,0,0.0,0,2
562348939237478400,La Panenka,4602,Robert Tonyan,TE,GB,Robert Tonyan,GB,TE,0,0.0,5,10
562348939237478400,La Panenka,4981,Calvin Ridley,WR,ATL,Calvin Ridley,ATL,WR,0,25.0,25,40
562348939237478400,La Panenka,4985,Rashaad Penny,RB,SEA,Rashaad Penny,SEA,RB,0,0.0,0,2
562348939237478400,La Panenka,5000,Chase Edmonds,RB,ARI,Chase Edmonds,ARI,RB,0,1.0,1,2
562348939237478400,La Panenka,5007,Keke Coutee,WR,HOU,Keke Coutee,HOU,WR,0,0.0,21,35
562348939237478400,La Panenka,5848,Marquise Brown,WR,BAL,Marquise Brown,BAL,WR,0,6.0,6,12
562348939237478400,La Panenka,5967,Tony Pollard,RB,DAL,Tony Pollard,DAL,RB,0,1.0,1,2
562348939237478400,La Panenka,6074,Donald Parham,TE,LAC,Donald Parham,LAC,TE,0,0.0,0,2
562348939237478400,La Panenka,6126,Irv Smith,TE,MIN,Irv Smith,MIN,TE,0,0.0,0,2
562348939237478400,La Panenka,6798,Jalen Reagor,WR,PHI,Jalen Reagor,PHI,WR,0,1.0,1,2
368856473306009600,destes10,1476,Latavius Murray,RB,NO,Latavius Murray,NO,RB,0,5.0,5,10
368856473306009600,destes10,167,Tom Brady,QB,TB,Tom Brady,TB,QB,0,9.0,9,17
368856473306009600,destes10,1689,Adam Thielen,WR,MIN,Adam Thielen,MIN,WR,0,19.0,19,33
368856473306009600,destes10,2216,Mike Evans,WR,TB,Mike Evans,TB,WR,0,23.0,23,38
368856473306009600,destes10,2315,Todd Gurley,RB,,Todd Gurley,ATL,RB,0,23.0,23,38
368856473306009600,destes10,2391,David Johnson,RB,HOU,David Johnson,HOU,RB,0,18.0,18,31
368856473306009600,destes10,4017,Deshaun Watson,QB,HOU,Deshaun Watson,HOU,QB,0,26.0,26,41
368856473306009600,destes10,4018,Joe Mixon,RB,CIN,Joe Mixon,CIN,RB,0,34.0,34,49
368856473306009600,destes10,4037,Chris Godwin,WR,TB,Chris Godwin,TB,WR,0,31.0,31,47
