team_owner,player_name,team,position,original_draft_value,current_value,updated,nextUpdate
The San Francisco 49ers,Van Jefferson,LAR,WR,0.0,0,2020-12-24,2020-12-31
The San Francisco 49ers,Noah Fant,DEN,TE,3.0,3,2020-12-24,2020-12-31
The San Francisco 49ers,Hayden Hurst,ATL,TE,2.0,2,2020-12-24,2020-12-31
dcombs11,Joe Burrow,CIN,QB,11.0,11,2020-12-24,2020-12-31
dcombs11,Drew Brees,NO,QB,6.0,6,2020-12-24,2020-12-31
dcombs11,Josh Allen,BUF,QB,6.0,6,2020-12-24,2020-12-31
dcombs11,Aaron Rodgers,GB,QB,6.0,6,2020-12-24,2020-12-31
dcombs11,Raheem Mostert,SF,RB,11.0,11,2020-12-24,2020-12-31
dcombs11,Damien Harris,NE,RB,9.0,9,2020-12-24,2020-12-31
dcombs11,Kareem Hunt,CLE,RB,8.0,8,2020-12-24,2020-12-31
dcombs11,Leonard Fournette,TB,RB,5.0,5,2020-12-24,2020-12-31
dcombs11,Jordan Howard,PHI,RB,4.0,4,2020-12-24,2020-12-31
dcombs11,Patrick Laird,MIA,RB,0.0,4,2020-12-24,2020-12-31
dcombs11,Travis Homer,SEA,RB,3.0,3,2020-12-24,2020-12-31
dcombs11,Tyler Lockett,SEA,WR,21.0,21,2020-12-24,2020-12-31
dcombs11,JuJu Smith-Schuster,PIT,WR,19.0,19,2020-12-24,2020-12-31
dcombs11,Terry McLaurin,WAS,WR,17.0,17,2020-12-24,2020-12-31
dcombs11,Courtland Sutton,DEN,WR,13.0,13,2020-12-24,2020-12-31
dcombs11,DeVante Parker,MIA,WR,11.0,11,2020-12-24,2020-12-31
dcombs11,T.Y. Hilton,IND,WR,10.0,10,2020-12-24,2020-12-31
dcombs11,CeeDee Lamb,DAL,WR,5.0,5,2020-12-24,2020-12-31
dcombs11,Emmanuel Sanders,NO,WR,2.0,2,2020-12-24,2020-12-31
dcombs11,Zach Ertz,PHI,TE,13.0,13,2020-12-24,2020-12-31
dcombs11,Logan Thomas,WAS,TE,0.0,6,2020-12-24,2020-12-31
dcombs11,Tyler Higbee,LAR,TE,5.0,5,2020-12-24,2020-12-31
destes10,Deshaun Watson,HOU,QB,26.0,26,2020-12-24,2020-12-31
destes10,Tua Tagovailoa,MIA,QB,12.0,12,2020-12-24,2020-12-31
destes10,Tom Brady,TB,QB,9.0,9,2020-12-24,2020-12-31
destes10,Daniel Jones,NYG,QB,3.0,3,2020-12-24,2020-12-31
destes10,Joe Mixon,CIN,RB,34.0,34,2020-12-24,2020-12-31
destes10,Josh Jacobs,LV,RB,34.0,34,2020-12-24,2020-12-31
destes10,Todd Gurley,ATL,RB,23.0,23,2020-12-24,2020-12-31
destes10,David Johnson,HOU,RB,18.0,18,2020-12-24,2020-12-31
destes10,Wayne Gallman,NYG,RB,0.0,11,2020-12-24,2020-12-31
destes10,Latavius Murray,NO,RB,5.0,5,2020-12-24,2020-12-31
destes10,Tarik Cohen,CHI,RB,4.0,4,2020-12-24,2020-12-31
destes10,Derrius Guice,0,RB,0.0,0,2020-12-24,2020-12-31
destes10,Jeffery Wilson,SF,RB,0.0,0,2020-12-24,2020-12-31
destes10,Chris Godwin,TB,WR,31.0,31,2020-12-24,2020-12-31
destes10,Mike Evans,TB,WR,23.0,23,2020-12-24,2020-12-31
destes10,Adam Thielen,MIN,WR,19.0,19,2020-12-24,2020-12-31
destes10,Justin Jefferson,MIN,WR,4.0,4,2020-12-24,2020-12-31
destes10,Michael Pittman,IND,WR,3.0,3,2020-12-24,2020-12-31
destes10,Bryan Edwards,LV,WR,1.0,1,2020-12-24,2020-12-31
destes10,Evan Engram,NYG,TE,6.0,6,2020-12-24,2020-12-31
destes10,Rob Gronkowski,TB,TE,4.0,4,2020-12-24,2020-12-31
donkeydonkeydonkey,Carson Wentz,PHI,QB,4.0,4,2020-12-24,2020-12-31
donkeydonkeydonkey,Derek Carr,LV,QB,1.0,1,2020-12-24,2020-12-31
donkeydonkeydonkey,Saquon Barkley,NYG,RB,57.0,57,2020-12-24,2020-12-31
donkeydonkeydonkey,Miles Sanders,PHI,RB,30.0,30,2020-12-24,2020-12-31
donkeydonkeydonkey,Kenyan Drake,ARI,RB,24.0,24,2020-12-24,2020-12-31
donkeydonkeydonkey,David Montgomery,CHI,RB,8.0,8,2020-12-24,2020-12-31
donkeydonkeydonkey,Duke Johnson,HOU,RB,1.0,1,2020-12-24,2020-12-31
donkeydonkeydonkey,Benny Snell,PIT,RB,1.0,1,2020-12-24,2020-12-31
donkeydonkeydonkey,Joshua Kelley,LAC,RB,1.0,1,2020-12-24,2020-12-31
donkeydonkeydonkey,Travis Fulgham,PHI,WR,0.0,38,2020-12-24,2020-12-31
donkeydonkeydonkey,Allen Robinson,CHI,WR,17.0,17,2020-12-24,2020-12-31
donkeydonkeydonkey,D.J. Chark,JAX,WR,4.0,4,2020-12-24,2020-12-31
donkeydonkeydonkey,Denzel Mims,NYJ,WR,2.0,2,2020-12-24,2020-12-31
donkeydonkeydonkey,Cole Beasley,BUF,WR,1.0,1,2020-12-24,2020-12-31
donkeydonkeydonkey,Sammy Watkins,KC,WR,1.0,1,2020-12-24,2020-12-31
donkeydonkeydonkey,Mike Williams,LAC,WR,1.0,1,2020-12-24,2020-12-31
donkeydonkeydonkey,Anthony Miller,CHI,WR,1.0,1,2020-12-24,2020-12-31
donkeydonkeydonkey,Antonio Brown,TB,WR,1.0,1,2020-12-24,2020-12-31
donkeydonkeydonkey,Parris Campbell,IND,WR,1.0,1,2020-12-24,2020-12-31
donkeydonkeydonkey,Darius Slayton,NYG,WR,1.0,1,2020-12-24,2020-12-31
donkeydonkeydonkey,Hunter Henry,LAC,TE,2.0,2,2020-12-24,2020-12-31
donkeydonkeydonkey,T.J. Hockenson,DET,TE,1.0,1,2020-12-24,2020-12-31
